category_en,category_he,condition,relevant_families,source_deck,deck_topic,category_code,notes
Hypoglycemia (drug-induced),היפוגליקמיה (מושרית תרופתית),,F01-F06,32,Diabetes Mellitus,ENDO,"Main risk with insulin, sulfonylureas, glinides. Glucagon kit for emergencies. Relevant to donation safety"
Diabetic Retinopathy,רטינופתיה סוכרתית,,—,32,Diabetes Mellitus,ENDO,Long-term microvascular complication; leading cause of blindness. Tight glucose control prevents progression
Diabetic Nephropathy,נפרופתיה סוכרתית,,F12 (renal benefit),32,Diabetes Mellitus,ENDO,Progressive renal damage; SGLT2i + ACEi/ARBs slow progression. eGFR monitoring for drug dosing
Diabetic Neuropathy,נוירופתיה סוכרתית,,—,32,Diabetes Mellitus,ENDO,"Peripheral nerve damage; foot ulcers, autonomic dysfunction. Tight glucose control + pain management"
Polycystic Ovary Syndrome (PCOS),תסמונת שחלות פוליציסטיות,,"F07, F08",32,Diabetes Mellitus,ENDO,Metformin and TZDs improve insulin resistance in PCOS (off-label for metformin)
Obesity / Weight management,השמנה / ניהול משקל,,"F11, F14",32,Diabetes Mellitus,ENDO,"GLP-1 RAs (semaglutide=Wegovy, liraglutide=Saxenda) and tirzepatide (Zepbound) approved for obesity. Not all users are diabetic"
Gynecology,גינקולוגיה,Oral contraception,"F01,F08",33,Gonadal Hormones,ENDO,Combined (E+P) or progestin-only pills
Gynecology,גינקולוגיה,Emergency contraception,"F08,F09",33,Gonadal Hormones,ENDO,High-dose levonorgestrel or ulipristal; within 72-120h
Gynecology,גינקולוגיה,Medical abortion,F09,33,Gonadal Hormones,ENDO,Mifepristone + misoprostol
Gynecology,גינקולוגיה,Endometriosis,"F08,F10,F14",33,Gonadal Hormones,ENDO,"Progestins, danazol, GnRH agonists"
Gynecology,גינקולוגיה,Dysmenorrhea,"F01,F08",33,Gonadal Hormones,ENDO,Combined OCs; NSAIDs (xref deck 6)
Gynecology,גינקולוגיה,Menstrual irregularity,"F07,F08",33,Gonadal Hormones,ENDO,Progestins
Endocrinology,אנדוקרינולוגיה,Female hypogonadism,F01,33,Gonadal Hormones,ENDO,Estrogen replacement
Endocrinology,אנדוקרינולוגיה,Postmenopausal HRT,"F01,F07,F08",33,Gonadal Hormones,ENDO,"Estrogen + progestin combined; low dose, shortest duration"
Endocrinology,אנדוקרינולוגיה,Male hypogonadism,F10,33,Gonadal Hormones,ENDO,Testosterone replacement
Infertility,פוריות,Female infertility,"F03,F14",33,Gonadal Hormones,ENDO,"Clomiphene, GnRH, gonadotropins (xref deck 30)"
Oncology,אונקולוגיה,Breast cancer (HR+),"F03,F05,F06",33,Gonadal Hormones,ENDO,"Tamoxifen, aromatase inhibitors, SERDs"
Oncology,אונקולוגיה,Prostate cancer,"F11,F13,F14",33,Gonadal Hormones,ENDO,"AR antagonists, CYP17 inhibitors, GnRH agonists → chemical castration"
Urology,אורולוגיה,BPH (Benign Prostatic Hyperplasia),F12,33,Gonadal Hormones,ENDO,"Finasteride, dutasteride; also α1-blockers (xref deck 19)"
Urology/Dermatology,אורולוגיה/דרמטולוגיה,Male pattern alopecia,F12,33,Gonadal Hormones,ENDO,Finasteride at 1/5 BPH dose
Musculoskeletal,שלד-שריר,Osteoporosis (postmenopausal),F04,33,Gonadal Hormones,ENDO,"Raloxifene; also estrogens, bisphosphonates (xref)"
Wasting,ירידה במשקל,Chronic wasting (HIV/cancer),F10,33,Gonadal Hormones,ENDO,"Anabolic steroids: oxandrolone, testosterone"
Dermatology,דרמטולוגיה,Acne / Hirsutism,"F01,F08",33,Gonadal Hormones,ENDO,"Estrogen analogs; anti-androgenic progestins (drospirenone, dienogest)"
Endocrinology,אנדוקרינולוגיה,Addison's disease (adrenal insufficiency),"F01,F02,F05",34,Adrenocorticosteroids,ENDO,Glucocorticoid + mineralocorticoid replacement; chronic lifelong therapy
Endocrinology,אנדוקרינולוגיה,Acute adrenal crisis,F01,34,Adrenocorticosteroids,ENDO,"IV hydrocortisone; life-threatening; shock, trauma"
Endocrinology,אנדוקרינולוגיה,Congenital adrenal hyperplasia (CAH),"F01,F02",34,Adrenocorticosteroids,ENDO,Glucocorticoid replacement to suppress excess ACTH and androgens
Endocrinology,אנדוקרינולוגיה,Cushing's syndrome / disease,F07,34,Adrenocorticosteroids,ENDO,"Ketoconazole, osilodrostat, metyrapone to inhibit cortisol synthesis; dexamethasone for diagnosis only"
Immunology,אימונולוגיה,Autoimmune / inflammatory diseases,"F02,F03",34,Adrenocorticosteroids,ENDO,"RA, SLE, IBD, vasculitis, etc.; intermediate/long-acting GCs; taper to avoid adrenal suppression"
Pulmonology,ריאות,Asthma / COPD,F04,34,Adrenocorticosteroids,ENDO,Inhaled GCs = cornerstone of asthma maintenance; xref→deck 17
Pulmonology,ריאות,Allergic rhinitis,F04,34,Adrenocorticosteroids,ENDO,"Intranasal GCs (mometasone, fluticasone); xref→deck 17"
Dermatology,דרמטולוגיה,Inflammatory skin conditions,F04,34,Adrenocorticosteroids,ENDO,"Topical GCs by potency class; eczema, psoriasis, dermatitis"
Rheumatology,ראומטולוגיה,Joint inflammation,F02,34,Adrenocorticosteroids,ENDO,Intra-articular methylprednisolone/triamcinolone
Oncology,אונקולוגיה,Leukemias / lymphomas,"F02,F03",34,Adrenocorticosteroids,ENDO,Part of chemotherapy protocols; lymphocyte apoptosis
Obstetrics,מיילדות,Fetal lung maturation,F03,34,Adrenocorticosteroids,ENDO,Betamethasone/dexamethasone IM to mother before preterm delivery
Cardiology,קרדיולוגיה,Heart failure / Hyperaldosteronism,"F06,F08",34,Adrenocorticosteroids,ENDO,"Spironolactone, eplerenone, finerenone; xref→decks 19,20,21"
Nephrology,נפרולוגיה,CKD + T2DM,F08,34,Adrenocorticosteroids,ENDO,Finerenone (Kerendia); slows CKD progression
Hematologic,המטולוגיה,ALL (Acute Lymphoblastic Leukemia),"F01,F02,F04,F10,F27",35,Anti-Cancer Drugs,ONCO,POMP regimen (prednisone+vincristine+MTX+6MP); also L-asparaginase
Hematologic,המטולוגיה,AML (Acute Myeloid Leukemia),"F02,F03,F08",35,Anti-Cancer Drugs,ONCO,Cytarabine + daunorubicin (7+3); 6TG; azacitidine for MDS/AML
Hematologic,המטולוגיה,CML (Chronic Myeloid Leukemia),F21,35,Anti-Cancer Drugs,ONCO,Imatinib revolution; 2nd/3rd gen TKIs
Hematologic,המטולוגיה,CLL (Chronic Lymphocytic Leukemia),"F02,F16,F25",35,Anti-Cancer Drugs,ONCO,"Fludarabine, rituximab, ibrutinib"
Hematologic,המטולוגיה,Hodgkin's Lymphoma,"F10,F04,F27",35,Anti-Cancer Drugs,ONCO,MOPP (mechlorethamine+vincristine+procarbazine+prednisone)
Hematologic,המטולוגיה,Non-Hodgkin's Lymphoma,"F16,F02,F10",35,Anti-Cancer Drugs,ONCO,Rituximab-based; CHOP regimen
Solid Tumor,גידול מוצק,Breast Cancer,"F14,F15,F24,F05",35,Anti-Cancer Drugs,ONCO,"Tamoxifen/AI (HR+), trastuzumab (HER2+), CDK4/6i, taxanes, anthracyclines"
Solid Tumor,גידול מוצק,Colorectal Cancer,"F03,F07,F12,F17,F18",35,Anti-Cancer Drugs,ONCO,"5FU/capecitabine + oxaliplatin (FOLFOX); cetuximab, bevacizumab"
Solid Tumor,גידול מוצק,Lung Cancer (NSCLC),"F12,F05,F19,F23",35,Anti-Cancer Drugs,ONCO,"Platinum doublets, taxanes, checkpoint inhibitors, EGFR TKIs (osimertinib)"
Solid Tumor,גידול מוצק,Testicular Cancer,"F12,F04,F09",35,Anti-Cancer Drugs,ONCO,PVB (cisplatin+vinblastine+bleomycin) = 85-100% CURE
Solid Tumor,גידול מוצק,Ovarian Cancer,"F12,F05,F26",35,Anti-Cancer Drugs,ONCO,Platinum+taxane; PARP inhibitors (BRCA-mutated)
Solid Tumor,גידול מוצק,Melanoma,"F19,F20,F22",35,Anti-Cancer Drugs,ONCO,Pembrolizumab/nivolumab ± ipilimumab; vemurafenib (BRAF+)
Solid Tumor,גידול מוצק,Brain Tumors,"F11,F13",35,Anti-Cancer Drugs,ONCO,"Carmustine (crosses BBB), temozolomide (PO, crosses BBB)"
Supportive,תומך,Chemotherapy-Induced Nausea/Vomiting (CINV),"F28,F29",35,Anti-Cancer Drugs,ONCO,Triple therapy: 5-HT3 antagonist + NK1 antagonist + dexamethasone
Heart Failure (HFrEF),אי-ספיקת לב סיסטולית,Systolic HF (EF<40%),ACEi/ARBs + β-Blockers + Diuretics + Aldosterone antagonists + Cardiac Glycosides,21,Heart Failure,CV,Standard quadruple therapy; digoxin is last-line
Acute Decompensated HF,אי-ספיקת לב אקוטית,Acute HF (decompensated),β-Agonists (IV) + PDE3 Inhibitors (IV) + Diuretics,21,Heart Failure,CV,"Dobutamine, Milrinone — short-term IV only"
